Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
52,Christian Yelich*,33,MIL,150,644,573,88,151,21,0,29,103,0.343,0.452,0.795,yelicch01
53,Corbin Carroll*,24,ARI,143,642,564,107,146,32,17,31,84,0.343,0.541,0.883,carroco02
54,Michael Harris II*,24,ATL,160,641,611,55,152,26,6,20,86,0.268,0.409,0.678,harrimi04
55,Salvador Perez,35,KCR,155,641,597,54,141,35,0,30,100,0.284,0.446,0.729,perezsa02
56,Christian Walker,34,HOU,154,640,585,72,139,24,1,27,88,0.297,0.421,0.717,walkech02
57,Trea Turner,32,PHI,141,639,589,94,179,31,7,15,69,0.355,0.457,0.812,turnetr01
58,CJ Abrams*,24,WSN,144,635,580,92,149,35,5,19,60,0.315,0.433,0.748,abramcj01
59,Lawrence Butler*,24,ATH,152,630,569,83,133,30,2,21,63,0.306,0.404,0.71,butlela01
60,Bo Bichette,27,TOR,139,628,582,78,181,44,1,18,94,0.357,0.483,0.84,bichebo01
61,Gleyber Torres,28,DET,145,628,532,79,136,22,0,16,74,0.358,0.387,0.745,torregl01
62,Freddie Freeman*,35,LAD,147,627,556,81,164,39,2,24,90,0.367,0.502,0.869,freemfr01
63,Andy Pages,24,LAD,156,624,581,74,158,27,1,27,86,0.313,0.461,0.774,pagesan01
64,Tyler Soderstrom*,23,ATH,158,624,561,75,155,34,1,25,93,0.346,0.474,0.82,soderty01
65,Xavier Edwards#,25,MIA,139,619,561,75,159,20,5,3,43,0.343,0.353,0.695,edwarxa01
66,Jung Hoo Lee*,26,SFG,150,617,560,73,149,31,12,8,55,0.327,0.407,0.735,leeju01
67,Nathaniel Lowe*,29,2TM,153,609,540,64,123,23,3,18,84,0.307,0.381,0.689,lowena01
67,Nathaniel Lowe*,29,WSN,119,490,440,50,95,17,2,16,68,0.292,0.373,0.665,lowena01
67,Nathaniel Lowe*,29,BOS,34,119,100,14,28,6,1,2,16,0.37,0.42,0.79,lowena01
68,Josh Naylor*,28,2TM,147,604,543,81,160,29,1,20,92,0.353,0.462,0.816,naylojo01
68,Josh Naylor*,28,ARI,93,394,349,49,102,19,1,11,59,0.36,0.447,0.807,naylojo01
68,Josh Naylor*,28,SEA,54,210,194,32,58,10,0,9,33,0.341,0.49,0.831,naylojo01
